# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
35 6.9 0.964459 64.2926
36 7.1 1.0067 70.1727
37 7.3 1.01218 76.4226
38 7.5 1.01104 83.0121
39 7.7 1.02944 90.0842
40 7.9 1.0534 97.7016
41 8.1 1.02737 105.512
42 8.3 1.03479 113.772
43 8.5 1.02027 122.313
44 8.7 1.01883 131.248
45 8.9 1.01586 140.571
46 9.1 0.979734 149.971
47 9.3 0.997738 159.97
48 9.5 1.00545 170.484
49 9.7 0.982099 181.191
50 9.9 0.983802 192.363
1300 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.7691 0.348323
6 1.1 2.2159 0.653819
7 1.3 2.5894 1.15203
8 1.5 0.724826 1.33762
9 1.7 0.937932 1.64597
10 1.9 0.80667 1.97716
11 2.1 0.35015 2.15275
12 2.3 0.590998 2.50821
13 2.5 0.596707 2.93219
14 2.7 0.559852 3.39615
15 2.9 0.364366 3.74447
16 3.1 0.297973 4.06995
17 3.3 0.604347 4.81799
18 3.5 0.812058 5.94861
19 3.7 1.06247 7.60171
20 3.9 1.24618 9.75589
21 4.1 1.22996 12.1056
22 4.3 1.26022 14.7537
23 4.5 1.23507 17.596
24 4.7 1.16519 20.5211
25 4.9 1.12278 23.5846
26 5.1 1.1118 26.8708
27 5.3 1.02903 30.1556
28 5.5 1.0054 33.6117
29 5.7 0.938021 37.0749
30 5.9 0.95274 40.8437
31 6.1 0.933159 44.7894
32 6.3 0.913155 48.9079
33 6.5 0.921758 53.3333
34 6.7 0.904494 57.9472
35 6.9 0.934358 63.0021
36 7.1 1.00034 68.7323
37 7.3 1.02644 74.9479
38 7.5 1.00012 81.3405
39 7.7 1.02406 88.2398
40 7.9 1.01937 95.469
41 8.1 1.07152 103.458
42 8.3 1.02908 111.513
43 8.5 1.00209 119.74
44 8.7 1.01464 128.467
45 8.9 1.0276 137.716
46 9.1 1.00888 147.209
47 9.3 0.996455 157.002
48 9.5 0.987794 167.132
49 9.7 1.00783 177.907
50 9.9 0.962527 188.627
1400 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.64562 0.331192
6 1.1 2.3911 0.655246
7 1.3 2.60393 1.14775
8 1.5 0.794063 1.34761
9 1.7 1.01155 1.67452
10 1.9 0.799379 1.99714
11 2.1 0.356197 2.17273
12 2.3 0.584303 2.5182
13 2.5 0.613143 2.94647
14 2.7 0.602816 3.43754
15 2.9 0.331162 3.74875
16 3.1 0.295142 4.06567
17 3.3 0.633556 4.83655
18 3.5 0.724908 5.82869
19 3.7 0.998681 7.35617
20 3.9 1.19629 9.38901
21 4.1 1.26109 11.7573
22 4.3 1.27092 14.3826
23 4.5 1.23431 17.1749
24 4.7 1.16911 20.06
25 4.9 1.14696 23.1363
26 5.1 1.11085 26.364
27 5.3 1.05727 29.6817
28 5.5 1.01135 33.0992
29 5.7 0.95658 36.571
30 5.9 0.92881 40.1827
31 6.1 0.923859 44.0228
32 6.3 0.928602 48.1399
33 6.5 0.927392 52.5168
34 6.7 0.917836 57.1192
35 6.9 0.919894 62.0114
36 7.1 0.96666 67.4547
37 7.3 1.00651 73.4461
38 7.5 1.0133 79.813
39 7.7 1.02925 86.6296
40 7.9 1.02367 93.7659
41 8.1 1.05204 101.476
42 8.3 1.05353 109.583
43 8.5 1.01833 117.802
44 8.7 1.01393 126.374
45 8.9 1.00727 135.286
46 9.1 1.01488 144.674
47 9.3 1.00834 154.415
48 9.5 0.983045 164.325
49 9.7 0.991146 174.742
50 9.9 0.98906 185.57
1500 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.70017 0.331192
6 1.1 2.48033 0.662384
7 1.3 2.59692 1.14632
8 1.5 0.834727 1.35332
9 1.7 1.03566 1.68308
10 1.9 0.822109 2.00999
11 2.1 0.358587 2.18415
12 2.3 0.686168 2.58387
13 2.5 0.551788 2.9636
14 2.7 0.622507 3.46324
15 2.9 0.325324 3.76445
16 3.1 0.279318 4.05996
17 3.3 0.618028 4.80086
18 3.5 0.70717 5.75446
19 3.7 0.922681 7.1449
20 3.9 1.16218 9.09065
21 4.1 1.26607 11.4333
22 4.3 1.26048 13.9986
